core_place,related_rank,related_place,category_datalab,address_datalab,visitjeju_id,place_name_visitjeju,category_visitjeju,address_visitjeju,core_latitude,core_longitude,alternative_latitude,alternative_longitude,straight_distance_km,visitjeju_matched,coordinate_available
협재해수욕장,3,금능해수욕장,자연관광,제주특별자치도 제주시,CONT_000000000500079,금능해수욕장,관광지,제주특별자치도 제주시 한림읍 금능길 119-10,33.393845,126.239716,33.390003,126.23591,0.55,True,True
협재해수욕장,4,오설록티뮤지엄,문화관광,제주특별자치도 서귀포시,CONT_000000000500457,오설록 티 뮤지엄,관광지,제주특별자치도 서귀포시 안덕면 신화역사로 15,33.393845,126.239716,33.30601,126.2901309,10.83,True,True
협재해수욕장,5,판포포구,자연관광,제주특별자치도 제주시,CNTS_000000000022542,판포포구,관광지,-,33.393845,126.239716,33.36537,126.19965,4.89,True,True
오설록티뮤지엄,1,카멜리아힐,문화관광,제주특별자치도 서귀포시,CNTS_000000000001195,카멜리아힐,관광지,제주 서귀포시 안덕면 병악로 166,33.30601,126.2901309,33.289135,126.37011,7.67,True,True
오설록티뮤지엄,2,협재해수욕장,자연관광,제주특별자치도 제주시,CONT_000000000500697,협재해수욕장,관광지,제주 제주시 한림읍 협재리 2497-1,33.30601,126.2901309,33.393845,126.239716,10.83,True,True
오설록티뮤지엄,3,바이나흐튼크리스마스박물관,문화관광,제주특별자치도 서귀포시,CNTS_000000000022743,바이나흐튼 크리스마스 박물관,관광지,제주특별자치도 서귀포시 안덕면 평화로 654,33.30601,126.2901309,33.308956,126.3279,3.53,True,True
오설록티뮤지엄,4,용머리해안,기타관광,제주특별자치도 서귀포시,CONT_000000000500471,용머리해안,관광지,제주특별자치도 서귀포시 안덕면 사계리 112-3,33.30601,126.2901309,33.2334272,126.313741,8.36,True,True
오설록티뮤지엄,5,서귀포매일올레시장,쇼핑,제주특별자치도 서귀포시,CONT_000000000500731,서귀포매일올레시장,쇼핑,서귀포시 중앙로 62번길 18,33.30601,126.2901309,33.24828,126.56415,26.27,True,True
섭지코지,1,성산일출봉,자연관광,제주특별자치도 서귀포시,CONT_000000000500349,성산일출봉,관광지,제주특별자치도 서귀포시 성산읍 일출로 284-12,33.4236948,126.9296022,33.462147,126.936424,4.32,True,True
섭지코지,2,아쿠아플라넷/제주,문화관광,제주특별자치도 서귀포시,CONT_000000000500565,아쿠아플라넷 제주,관광지,제주특별자치도 서귀포시 성산읍 섭지코지로 95,33.4236948,126.9296022,33.4325283,126.9272108,1.01,True,True
섭지코지,3,서귀피안베이커리,음식,제주특별자치도 서귀포시,CNTS_200000000012788,서귀피안 베이커리,음식점,제주특별자치도 서귀포시 성산읍 신양로122번길 17(2층),33.4236948,126.9296022,33.4352867,126.9218661,1.48,True,True
섭지코지,4,광치기해변,자연관광,제주특별자치도 서귀포시,CNTS_000000000018413,광치기해변,관광지,제주특별자치도 서귀포시 성산읍 섭지코지로 63,33.4236948,126.9296022,33.452452755358465,126.92458139419557,3.23,True,True
섭지코지,5,성산포종합여객터미널,기타관광,제주특별자치도 서귀포시,CNTS_000000000022377,성산포항종합여객터미널,관광지,서귀포시 성산읍 성산등용로 130-21,33.4236948,126.9296022,33.47211,126.9332,5.39,True,True
주상절리대,1,서귀포매일올레시장,쇼핑,제주특별자치도 서귀포시,CONT_000000000500731,서귀포매일올레시장,쇼핑,서귀포시 중앙로 62번길 18,33.23834,126.42586,33.24828,126.56415,12.91,True,True
주상절리대,2,천제연폭포,자연관광,제주특별자치도 서귀포시,CNTS_000000000022879,천제연폭포 & 제주4.3중문면희생자위령비,관광지,제주특별자치도 서귀포시 천제연로 132,33.23834,126.42586,33.252678,126.41844,1.74,True,True
주상절리대,3,천지연폭포,자연관광,제주특별자치도 서귀포시,CONT_000000000500618,천지연폭포,관광지,제주특별자치도 서귀포시 남성중로 2-15,33.23834,126.42586,33.2447173,126.5598201,12.48,True,True
주상절리대,4,용머리해안,기타관광,제주특별자치도 서귀포시,CONT_000000000500471,용머리해안,관광지,제주특별자치도 서귀포시 안덕면 사계리 112-3,33.23834,126.42586,33.2334272,126.313741,10.44,True,True
주상절리대,5,연돈,음식,제주특별자치도 서귀포시,,,,,33.23834,126.42586,,,,False,False
용머리해안,1,오설록티뮤지엄,문화관광,제주특별자치도 서귀포시,CONT_000000000500457,오설록 티 뮤지엄,관광지,제주특별자치도 서귀포시 안덕면 신화역사로 15,33.2334272,126.313741,33.30601,126.2901309,8.36,True,True
용머리해안,2,산방산,자연관광,제주특별자치도 서귀포시,CONT_000000000500285,산방산,관광지,제주특별자치도 서귀포시 안덕면 사계리 산 16,33.2334272,126.313741,33.236614,126.31289,0.36,True,True
용머리해안,3,주상절리대,기타관광,제주특별자치도 서귀포시,CNTS_000000000020476,대포해안주상절리대,관광지,제주특별자치도 서귀포시 이어도로 36-24,33.2334272,126.313741,33.23834,126.42586,10.44,True,True
용머리해안,4,서귀포매일올레시장,쇼핑,제주특별자치도 서귀포시,CONT_000000000500731,서귀포매일올레시장,쇼핑,서귀포시 중앙로 62번길 18,33.2334272,126.313741,33.24828,126.56415,23.35,True,True
용머리해안,5,산방산유채꽃밭,기타관광,제주특별자치도 서귀포시,,,,,33.2334272,126.313741,,,,False,False
