LINK_ID,sped,baseline_median_speed,baseline_quality,traffic_weight,longitude,latitude,traffic_reference_dt,traffic_reference_time
4060033000,30,31.0,sufficient,0.032258064516129004,126.56484732411631,33.24505921251311,2026091523,2026-09-15 23:00
4050187600,3,25.5,sufficient,0.8823529411764706,126.51958993303172,33.5127146842342,2026091523,2026-09-15 23:00
4060042300,32,34.5,sufficient,0.07246376811594202,126.5667050800128,33.24584526894967,2026091523,2026-09-15 23:00
4060033600,32,33.0,sufficient,0.030303030303030276,126.56553236529057,33.24531752953486,2026091523,2026-09-15 23:00
4060042900,24,25.0,sufficient,0.040000000000000036,126.56786687514324,33.2477115570582,2026091523,2026-09-15 23:00
4060057800,36,37.0,sufficient,0.027027027027026973,126.57205704638746,33.250501372183365,2026091523,2026-09-15 23:00
4050022600,43,44.5,sufficient,0.0337078651685393,126.45728816097422,33.495404863944835,2026091523,2026-09-15 23:00
4060058200,13,27.5,sufficient,0.5272727272727273,126.56795419259852,33.25034918442637,2026091523,2026-09-15 23:00
4060142800,24,24.5,sufficient,0.020408163265306145,126.56616169008316,33.249812906377336,2026091523,2026-09-15 23:00
4050199700,15,31.5,sufficient,0.5238095238095238,126.51753372114756,33.51488800427697,2026091523,2026-09-15 23:00
4050187700,28,29.5,sufficient,0.05084745762711862,126.51845143894832,33.51339019736628,2026091523,2026-09-15 23:00
4050192000,6,30.0,sufficient,0.8,126.52621087119158,33.51315267716292,2026091523,2026-09-15 23:00
4050022500,49,50.0,sufficient,0.020000000000000018,126.45860327282162,33.49553956215959,2026091523,2026-09-15 23:00
4060027000,36,38.5,sufficient,0.06493506493506496,126.41397314402548,33.2553685564316,2026091523,2026-09-15 23:00
4050028400,11,12.5,sufficient,0.12,126.5238452228161,33.510388416679696,2026091523,2026-09-15 23:00
4060042200,43,43.5,sufficient,0.011494252873563204,126.56677874753908,33.24574832002936,2026091523,2026-09-15 23:00
4060032900,35,36.0,sufficient,0.02777777777777779,126.56483552695458,33.24492812781323,2026091523,2026-09-15 23:00
4060040900,10,29.0,sufficient,0.6551724137931034,126.42339272474248,33.2518118616,2026091523,2026-09-15 23:00
4050137600,8,11.5,sufficient,0.30434782608695654,126.45481434148716,33.49596124784166,2026091523,2026-09-15 23:00
4050204100,10,37.0,sufficient,0.7297297297297297,126.51662474330983,33.51581438505549,2026091523,2026-09-15 23:00
4050187500,34,39.0,sufficient,0.1282051282051282,126.51969930003575,33.512640212218145,2026091523,2026-09-15 23:00
4050203900,10,37.0,sufficient,0.7297297297297297,126.51689859758852,33.515850978319975,2026091523,2026-09-15 23:00
4050182000,19,41.0,sufficient,0.5365853658536586,126.5161715004794,33.51419041951057,2026091523,2026-09-15 23:00
4050191900,29,33.0,sufficient,0.12121212121212122,126.52655265785464,33.51303697593319,2026091523,2026-09-15 23:00
4060078700,31,33.5,sufficient,0.07462686567164178,126.56844528877652,33.247096115907304,2026091523,2026-09-15 23:00
4050200500,26,27.0,sufficient,0.03703703703703709,126.52897869785326,33.5145791951963,2026091523,2026-09-15 23:00
4060026900,25,41.0,sufficient,0.3902439024390244,126.41391508449009,33.25526390668122,2026091523,2026-09-15 23:00
4050192300,29,33.0,sufficient,0.12121212121212122,126.5250459468564,33.51307339334483,2026091523,2026-09-15 23:00
4050204200,17,20.0,sufficient,0.15000000000000002,126.5164987124083,33.51598803643714,2026091523,2026-09-15 23:00
4060058400,36,39.5,sufficient,0.08860759493670889,126.56785070911604,33.25230897427838,2026091523,2026-09-15 23:00
4060078600,33,35.5,sufficient,0.07042253521126762,126.5660286037566,33.24554047728468,2026091523,2026-09-15 23:00
4050201500,26,27.0,sufficient,0.03703703703703709,126.5292344103856,33.51490973330862,2026091523,2026-09-15 23:00
4050207400,17,20.0,sufficient,0.15000000000000002,126.51641181773986,33.51727178982706,2026091523,2026-09-15 23:00
4060098100,21,21.5,sufficient,0.023255813953488413,126.41488293449032,33.25670724101783,2026091523,2026-09-15 23:00
4060078500,22,30.0,sufficient,0.2666666666666667,126.566093105544,33.24543939866102,2026091523,2026-09-15 23:00
4050618901,33,37.5,sufficient,0.12,126.4957985996508,33.504135010456906,2026091523,2026-09-15 23:00
4050386000,59,60.0,sufficient,0.01666666666666672,126.18233990319985,33.33981200354879,2026091523,2026-09-15 23:00
4060031402,13,17.0,sufficient,0.23529411764705888,126.5626785234494,33.24452628744314,2026091523,2026-09-15 23:00
4060051602,28,31.0,sufficient,0.09677419354838712,126.42205020472942,33.25223461964336,2026091523,2026-09-15 23:00
4060051601,18,41.0,sufficient,0.5609756097560976,126.41686470679733,33.25462424558319,2026091523,2026-09-15 23:00
4060142602,30,30.5,sufficient,0.016393442622950838,126.56170704880572,33.24852562202965,2026091523,2026-09-15 23:00
4060142601,30,30.5,sufficient,0.016393442622950838,126.56127356222142,33.25105815416212,2026091523,2026-09-15 23:00
4060428100,55,56.5,sufficient,0.026548672566371723,126.32204974268912,33.31011135639101,2026091523,2026-09-15 23:00
4050614300,40,44.0,sufficient,0.09090909090909094,126.76116024058436,33.55531737618892,2026091523,2026-09-15 23:00
4060051701,23,30.0,sufficient,0.23333333333333328,126.42210976633406,33.252337613412145,2026091523,2026-09-15 23:00
4050618801,8,20.5,sufficient,0.6097560975609756,126.49581888965857,33.5039096927411,2026091523,2026-09-15 23:00
4050204000,17,20.0,sufficient,0.15000000000000002,126.5167659433134,33.51585321854966,2026091523,2026-09-15 23:00
4060271300,36,36.5,sufficient,0.013698630136986356,126.91944594036543,33.43943720948748,2026091523,2026-09-15 23:00
4060057602,34,36.0,sufficient,0.05555555555555558,126.5706027588681,33.24905355847187,2026091523,2026-09-15 23:00
4060057601,34,36.0,sufficient,0.05555555555555558,126.57108813399616,33.24944646886739,2026091523,2026-09-15 23:00
4050373500,29,46.5,sufficient,0.3763440860215054,126.28572857103748,33.30466486937932,2026091523,2026-09-15 23:00
4050407800,49,50.0,sufficient,0.020000000000000018,126.2027664459064,33.36650834992719,2026091523,2026-09-15 23:00
4050618401,8,20.5,sufficient,0.6097560975609756,126.49409963224268,33.50367111602333,2026091523,2026-09-15 23:00
4060528800,33,34.0,sufficient,0.02941176470588236,126.92924490165224,33.46929044923046,2026091523,2026-09-15 23:00
4060418000,47,50.0,sufficient,0.06000000000000005,126.28785164705526,33.30543094778362,2026091523,2026-09-15 23:00
4060274800,26,30.0,sufficient,0.1333333333333333,126.9310316293274,33.47157735574611,2026091523,2026-09-15 23:00
4050176302,12,21.0,sufficient,0.4285714285714286,126.51843271058983,33.50884104681263,2026091523,2026-09-15 23:00
4050176301,14,26.0,sufficient,0.46153846153846156,126.51665736887288,33.508616317811544,2026091523,2026-09-15 23:00
4060040400,35,37.5,sufficient,0.06666666666666665,126.41368090430656,33.25032357770745,2026091523,2026-09-15 23:00
4060033200,27,28.5,sufficient,0.052631578947368474,126.56686709287844,33.24864454505321,2026091523,2026-09-15 23:00
4060044200,22,27.0,sufficient,0.18518518518518523,126.56841863298897,33.24859923306498,2026091523,2026-09-15 23:00
4050374800,47,50.0,sufficient,0.06000000000000005,126.28518789650602,33.30659105287269,2026091523,2026-09-15 23:00
4050192101,26,27.0,sufficient,0.03703703703703709,126.5280904995747,33.513544954942816,2026091523,2026-09-15 23:00
4050618301,28,37.0,sufficient,0.2432432432432432,126.4923174009942,33.503018963939354,2026091523,2026-09-15 23:00
4060528700,27,30.0,sufficient,0.09999999999999998,126.92936757882748,33.46923436987026,2026091523,2026-09-15 23:00
4060059301,34,36.0,sufficient,0.05555555555555558,126.57298965313848,33.25102464003375,2026091523,2026-09-15 23:00
4050181402,25,25.5,sufficient,0.019607843137254943,126.51512201861676,33.51063623268688,2026091523,2026-09-15 23:00
4050181401,16,41.0,sufficient,0.6097560975609756,126.51655458768296,33.51122093954409,2026091523,2026-09-15 23:00
4050618501,33,37.5,sufficient,0.12,126.494011477524,33.50389128934964,2026091523,2026-09-15 23:00
4050180303,25,31.0,sufficient,0.19354838709677424,126.51973393452651,33.51151830612017,2026091523,2026-09-15 23:00
4050180301,37,41.0,sufficient,0.09756097560975607,126.51985274763742,33.510352334655735,2026091523,2026-09-15 23:00
4060273200,28,30.0,sufficient,0.06666666666666665,126.9318767347286,33.472431038644736,2026091523,2026-09-15 23:00
4050192902,6,20.5,sufficient,0.7073170731707317,126.52464613908248,33.51402021896716,2026091523,2026-09-15 23:00
4050192901,6,20.5,sufficient,0.7073170731707317,126.52468598540364,33.51521889634946,2026091523,2026-09-15 23:00
4060418100,48,50.0,sufficient,0.040000000000000036,126.28774078981868,33.305370157513025,2026091523,2026-09-15 23:00
4060077502,27,29.0,sufficient,0.06896551724137934,126.5620202618818,33.24724902168724,2026091523,2026-09-15 23:00
4060274900,33,34.0,sufficient,0.02941176470588236,126.93093922728764,33.471653340979245,2026091523,2026-09-15 23:00
4060427400,55,56.5,sufficient,0.026548672566371723,126.3311485743712,33.30961958272485,2026091523,2026-09-15 23:00
4050022102,49,50.0,sufficient,0.020000000000000018,126.4600804305936,33.49527503239078,2026091523,2026-09-15 23:00
4050022101,39,51.5,sufficient,0.24271844660194175,126.46097047735336,33.49510578062989,2026091523,2026-09-15 23:00
4050191102,8,28.0,sufficient,0.7142857142857143,126.5283803604054,33.513068362369104,2026091523,2026-09-15 23:00
4050181302,15,21.0,sufficient,0.2857142857142857,126.51661388613016,33.51112477814339,2026091523,2026-09-15 23:00
4050373400,44,46.5,sufficient,0.053763440860215006,126.28543967746336,33.304499471515975,2026091523,2026-09-15 23:00
4050027801,33,35.5,sufficient,0.07042253521126762,126.52381070870648,33.50861236429884,2026091523,2026-09-15 23:00
4050495500,26,32.0,sufficient,0.1875,126.30623749304677,33.447175212582906,2026091523,2026-09-15 23:00
4050618001,25,31.0,sufficient,0.19354838709677424,126.49645374817732,33.50255328562954,2026091523,2026-09-15 23:00
4050180403,37,39.5,sufficient,0.06329113924050633,126.51938663994363,33.51201962479852,2026091523,2026-09-15 23:00
4060142502,14,26.5,sufficient,0.4716981132075472,126.5613932828075,33.25107761762676,2026091523,2026-09-15 23:00
4060142501,14,26.5,sufficient,0.4716981132075472,126.56182678435373,33.24854553634132,2026091523,2026-09-15 23:00
4060273300,33,34.0,sufficient,0.02941176470588236,126.932426655223,33.472817688768856,2026091523,2026-09-15 23:00
4050495400,12,32.5,sufficient,0.6307692307692307,126.30634821935332,33.447115890472155,2026091523,2026-09-15 23:00
4060532801,27,28.0,sufficient,0.0357142857142857,126.92729653942064,33.43136680233558,2026091523,2026-09-15 23:00
4050407600,49,50.0,sufficient,0.020000000000000018,126.20069456705968,33.36507047460549,2026091523,2026-09-15 23:00
4050022201,43,44.5,sufficient,0.0337078651685393,126.46004582214604,33.49517069094529,2026091523,2026-09-15 23:00
4060530600,33,34.0,sufficient,0.02941176470588236,126.93002082828404,33.47060661916786,2026091523,2026-09-15 23:00
4050611500,40,44.0,sufficient,0.09090909090909094,126.76427252713168,33.5537989633894,2026091523,2026-09-15 23:00
4050191202,40,41.0,sufficient,0.024390243902439046,126.5294855272609,33.51290799902239,2026091523,2026-09-15 23:00
