link_id,prcn_dt,tfvl,sped,ocpy_rate,trvl_hh,snapshot_stat_dt,snapshot_saved_at
4050175900,20260915232500,0,49,0,3,2026091523,2026-09-15 23:29:26
4050021604,20260915232500,0,43,0,36,2026091523,2026-09-15 23:29:26
4050021603,20260915232500,0,49,0,6,2026091523,2026-09-15 23:29:26
4050021602,20260915232500,0,49,0,5,2026091523,2026-09-15 23:29:26
4060013702,20260915232500,0,76,0,21,2026091523,2026-09-15 23:29:26
4050076000,20260915232500,0,39,0,11,2026091523,2026-09-15 23:29:26
4050179000,20260915232500,0,35,0,27,2026091523,2026-09-15 23:29:26
4060068100,20260915232500,0,44,0,10,2026091523,2026-09-15 23:29:26
4050020502,20260915232500,0,50,0,36,2026091523,2026-09-15 23:29:26
4050020501,20260915232500,0,27,0,28,2026091523,2026-09-15 23:29:26
4050098400,20260915232500,0,42,0,27,2026091523,2026-09-15 23:29:26
4050070700,20260915232500,0,39,0,9,2026091523,2026-09-15 23:29:26
4050019300,20260915232500,0,4,0,74,2026091523,2026-09-15 23:29:26
4060011500,20260915232500,0,59,0,1,2026091523,2026-09-15 23:29:26
4050150200,20260915232500,0,31,0,20,2026091523,2026-09-15 23:29:26
4060010413,20260915232500,0,63,0,26,2026091523,2026-09-15 23:29:26
4050144800,20260915232500,0,38,0,12,2026091523,2026-09-15 23:29:26
4060010412,20260915232500,0,63,0,39,2026091523,2026-09-15 23:29:26
4060010411,20260915232500,0,48,0,8,2026091523,2026-09-15 23:29:26
4060033900,20260915232500,0,37,0,22,2026091523,2026-09-15 23:29:26
4060010410,20260915232500,0,48,0,13,2026091523,2026-09-15 23:29:26
4050018200,20260915232500,0,20,0,21,2026091523,2026-09-15 23:29:26
4050149000,20260915232500,0,40,0,16,2026091523,2026-09-15 23:29:26
4060010409,20260915232500,0,48,0,2,2026091523,2026-09-15 23:29:26
4060010408,20260915232500,0,48,0,4,2026091523,2026-09-15 23:29:26
4060010407,20260915232500,0,48,0,1,2026091523,2026-09-15 23:29:26
4060010405,20260915232500,0,64,0,23,2026091523,2026-09-15 23:29:26
4060010404,20260915232500,0,64,0,2,2026091523,2026-09-15 23:29:26
4060010403,20260915232500,0,64,0,9,2026091523,2026-09-15 23:29:26
4050012900,20260915232500,0,47,0,23,2026091523,2026-09-15 23:29:26
4060010402,20260915232500,0,64,0,3,2026091523,2026-09-15 23:29:26
4050115900,20260915232500,0,14,0,8,2026091523,2026-09-15 23:29:26
4050040700,20260915232500,0,60,0,43,2026091523,2026-09-15 23:29:26
4050090900,20260915232500,0,42,0,8,2026091523,2026-09-15 23:29:26
4050017100,20260915232500,0,45,0,19,2026091523,2026-09-15 23:29:26
4050170400,20260915232500,0,18,0,41,2026091523,2026-09-15 23:29:26
4050016000,20260915232500,0,52,0,9,2026091523,2026-09-15 23:29:26
4060008100,20260915232500,0,59,0,5,2026091523,2026-09-15 23:29:26
4060058300,20260915232500,0,43,0,5,2026091523,2026-09-15 23:29:26
4050010702,20260915232500,0,5,0,53,2026091523,2026-09-15 23:29:26
4050010701,20260915232500,0,32,0,14,2026091523,2026-09-15 23:29:26
4060086100,20260915232500,0,40,0,9,2026091523,2026-09-15 23:29:26
4050060900,20260915232500,0,13,0,66,2026091523,2026-09-15 23:29:26
4050163900,20260915232500,0,24,0,65,2026091523,2026-09-15 23:29:26
4050191700,20260915232500,0,45,0,10,2026091523,2026-09-15 23:29:26
4060007004,20260915232500,0,50,0,27,2026091523,2026-09-15 23:29:26
4060007003,20260915232500,0,8,0,67,2026091523,2026-09-15 23:29:26
4050009500,20260915232500,0,27,0,10,2026091523,2026-09-15 23:29:26
4060007002,20260915232500,0,8,0,21,2026091523,2026-09-15 23:29:26
4050059700,20260915232500,0,40,0,5,2026091523,2026-09-15 23:29:26
4060057200,20260915232500,0,32,0,87,2026091523,2026-09-15 23:29:26
4050087500,20260915232500,0,24,0,44,2026091523,2026-09-15 23:29:26
4050008400,20260915232500,0,44,0,63,2026091523,2026-09-15 23:29:26
4050139200,20260915232500,0,46,0,9,2026091523,2026-09-15 23:29:26
4060000600,20260915232500,0,48,0,14,2026091523,2026-09-15 23:29:26
4050133900,20260915232500,0,36,0,24,2026091523,2026-09-15 23:29:26
4050161700,20260915232500,0,24,0,22,2026091523,2026-09-15 23:29:26
4050007300,20260915232500,0,11,0,87,2026091523,2026-09-15 23:29:26
4050029702,20260915232500,0,28,0,32,2026091523,2026-09-15 23:29:26
4050029701,20260915232500,0,28,0,37,2026091523,2026-09-15 23:29:26
4050138100,20260915232500,0,36,0,30,2026091523,2026-09-15 23:29:26
4050057500,20260915232500,0,27,0,11,2026091523,2026-09-15 23:29:26
4060021900,20260915232500,0,35,0,22,2026091523,2026-09-15 23:29:26
4050006202,20260915232500,0,46,0,31,2026091523,2026-09-15 23:29:26
4050006201,20260915232500,0,46,0,11,2026091523,2026-09-15 23:29:26
4050028600,20260915232500,0,16,0,102,2026091523,2026-09-15 23:29:26
4050137000,20260915232500,0,32,0,1,2026091523,2026-09-15 23:29:26
4050084200,20260915232500,0,43,0,9,2026091523,2026-09-15 23:29:26
4060020800,20260915232500,0,54,0,6,2026091523,2026-09-15 23:29:26
4050181900,20260915232500,0,25,0,79,2026091523,2026-09-15 23:29:26
4050005102,20260915232500,0,49,0,20,2026091523,2026-09-15 23:29:26
4050005101,20260915232500,0,49,0,13,2026091523,2026-09-15 23:29:26
4050027501,20260915232500,0,44,0,30,2026091523,2026-09-15 23:29:26
4060019602,20260915232500,0,63,0,50,2026091523,2026-09-15 23:29:26
4060025000,20260915232500,0,45,0,297,2026091523,2026-09-15 23:29:26
4060047400,20260915232500,0,48,0,2,2026091523,2026-09-15 23:29:26
4050130600,20260915232500,0,38,0,14,2026091523,2026-09-15 23:29:26
4050004000,20260915232500,0,57,0,31,2026091523,2026-09-15 23:29:26
4050107000,20260915232500,0,33,0,21,2026091523,2026-09-15 23:29:26
4050026400,20260915232500,0,39,0,48,2026091523,2026-09-15 23:29:26
4050129400,20260915232500,0,43,0,22,2026091523,2026-09-15 23:29:26
4060018500,20260915232500,0,80,0,20,2026091523,2026-09-15 23:29:26
4050157200,20260915232500,0,42,0,10,2026091523,2026-09-15 23:29:26
4050151900,20260915232500,0,29,0,10,2026091523,2026-09-15 23:29:26
4050018601,20260915232500,0,38,0,13,2026091523,2026-09-15 23:29:26
4050149400,20260915232500,0,31,0,30,2026091523,2026-09-15 23:29:26
4050177200,20260915232500,0,27,0,11,2026091523,2026-09-15 23:29:26
4060010800,20260915232500,0,39,0,110,2026091523,2026-09-15 23:29:26
