rank,place_name,search_radius_m,LINK_ID,ROAD_NAME,distance_m,MAX_SPD,LENGTH,prcn_dt,sped,trvl_hh,tfvl,ocpy_rate,speed_ratio
1,서귀포매일올레시장,500,4060033400,중정로,11.8,30,180.470748394238,20260827045000,12,120,0,0,0.4
1,서귀포매일올레시장,500,4060033300,중정로,121.4,30,94.873568348612,20260827045000,24,59,0,0,0.8
1,서귀포매일올레시장,500,4060042000,태평로431번길,174.4,50,316.190612635271,20260827045000,14,84,0,0,0.28
1,서귀포매일올레시장,500,4060042100,태평로431번길,185.8,50,312.191219271682,20260827045000,12,97,0,0,0.24
1,서귀포매일올레시장,500,4060033200,중정로,187.1,30,138.69104612982,20260827045000,30,18,0,0,1.0
1,서귀포매일올레시장,500,4060033100,중정로,187.3,30,138.1943528011,20260827045000,37,15,0,0,1.2333333333333334
1,서귀포매일올레시장,500,4060229300,중앙로54번길,200.7,50,102.823710648136,20260827045000,38,10,0,0,0.76
1,서귀포매일올레시장,500,4060142501,중앙로,209.2,50,194.74642957595,20260827045000,19,39,0,0,0.38
1,서귀포매일올레시장,500,4060229200,중앙로54번길,211.6,50,101.330349112426,20260827045000,38,10,0,0,0.76
1,서귀포매일올레시장,500,4060077502,중앙로,215.1,50,69.180799707058,20260827045000,26,11,0,0,0.52
1,서귀포매일올레시장,500,4060142602,중앙로,220.5,50,196.325380284744,20260827045000,28,26,0,0,0.56
1,서귀포매일올레시장,500,4060037300,중정로,223.4,50,29.140682043617,20260827045000,16,8,0,0,0.32
1,서귀포매일올레시장,500,4060037200,중정로,226.7,50,30.321947872648,20260827045000,17,8,0,0,0.34
1,서귀포매일올레시장,500,4060077601,중앙로,226.7,50,66.574875710195,20260827045000,37,7,0,0,0.74
1,서귀포매일올레시장,500,4060142800,동문로,247.5,30,375.636803178813,20260827045000,25,112,0,0,0.8333333333333334
1,서귀포매일올레시장,500,4060077504,중앙로,254.1,50,197.588204710363,20260827045000,36,21,0,0,0.72
1,서귀포매일올레시장,500,4060077402,태평로353번길,255.2,40,43.604549068173,20260827045000,17,10,0,0,0.425
1,서귀포매일올레시장,500,4060227100,명동로,256.4,50,12.421789778768,20260827045000,33,8,0,0,0.66
1,서귀포매일올레시장,500,4060077603,중앙로,263.2,50,234.676675657066,20260827045000,33,23,0,0,0.66
1,서귀포매일올레시장,500,4060142502,중앙로,269.5,50,348.549988724716,20260827045000,19,68,0,0,0.38
1,서귀포매일올레시장,500,4060142700,동문로,271.0,30,377.077425239258,20260827045000,30,92,0,0,1.0
1,서귀포매일올레시장,500,4060227000,명동로,273.5,50,56.941476052139,20260827045000,31,9,0,0,0.62
1,서귀포매일올레시장,500,4060143201,중정로,276.7,30,18.193948629574,20260827045000,28,53,0,0,0.9333333333333333
1,서귀포매일올레시장,500,4060142601,중앙로,278.4,50,347.514948338356,20260827045000,29,45,0,0,0.58
1,서귀포매일올레시장,500,4060077301,태평로353번길,280.3,50,20.43424544957,20260827045000,17,10,0,0,0.34
1,서귀포매일올레시장,500,4060227900,태평로401번길,295.6,50,51.40737466887,20260827045000,35,5,0,0,0.7
1,서귀포매일올레시장,500,4060223800,태평로353번길,298.3,50,47.145613606376,20260827045000,42,4,0,0,0.84
1,서귀포매일올레시장,500,4060227800,태평로401번길,300.4,50,51.407438398634,20260827045000,37,5,0,0,0.74
1,서귀포매일올레시장,500,4060223900,태평로353번길,311.5,50,41.10715478077,20260827045000,45,4,0,0,0.9
1,서귀포매일올레시장,500,4060077302,태평로353번길,313.6,40,114.982308031904,20260827045000,23,31,0,0,0.575
1,서귀포매일올레시장,500,4060226700,태평로353번길,332.4,50,128.547196598531,20260827045000,45,10,0,0,0.9
1,서귀포매일올레시장,500,4060042900,정방로,333.0,60,182.498723795936,20260827045000,30,23,0,0,0.5
1,서귀포매일올레시장,500,4060058100,동홍로,337.3,50,354.721990781303,20260827045000,32,42,0,0,0.64
1,서귀포매일올레시장,500,4060042800,정방로,344.3,60,171.986823563981,20260827045000,28,24,0,0,0.4666666666666667
1,서귀포매일올레시장,500,4060241400,중앙로4번길,347.7,50,99.745583008324,20260827045000,37,10,0,0,0.74
1,서귀포매일올레시장,500,4060058200,동홍로,347.9,50,357.919172013878,20260827045000,29,46,0,0,0.58
1,서귀포매일올레시장,500,4060078600,태평로,350.5,50,25.736640482419,20260827045000,35,4,0,0,0.7
1,서귀포매일올레시장,500,4060044200,중정로,350.5,30,97.754490505064,20260827045000,36,19,0,0,1.2
1,서귀포매일올레시장,500,4060033600,태평로,351.0,50,44.877847256375,20260827045000,34,6,0,0,0.68
1,서귀포매일올레시장,500,4060057400,중정로,351.1,30,179.127787854565,20260827045000,28,24,0,0,0.9333333333333333
1,서귀포매일올레시장,500,4060042300,태평로,352.3,50,93.995077496081,20260827045000,38,10,0,0,0.76
1,서귀포매일올레시장,500,4060224900,태평로401번길,354.8,50,52.765543529295,20260827045000,48,5,0,0,0.96
1,서귀포매일올레시장,500,4060033000,태평로,356.3,50,70.728515492792,20260827045000,35,8,0,0,0.7
1,서귀포매일올레시장,500,4060224800,태평로401번길,359.0,50,54.610171398133,20260827045000,50,4,0,0,1.0
1,서귀포매일올레시장,500,4060241500,중앙로4번길,359.0,50,100.658805984727,20260827045000,37,10,0,0,0.74
1,서귀포매일올레시장,500,4060226600,태평로353번길,360.0,50,58.267363960095,20260827045000,36,13,0,0,0.72
1,서귀포매일올레시장,500,4060078500,태평로,363.2,50,25.736665609966,20260827045000,37,4,0,0,0.74
1,서귀포매일올레시장,500,4060041800,소암로,363.2,30,102.19143352497,20260827045000,20,21,0,0,0.6666666666666666
1,서귀포매일올레시장,500,4060033500,태평로,363.7,50,50.834558721555,20260827045000,34,6,0,0,0.68
1,서귀포매일올레시장,500,4060041900,소암로,363.7,30,115.248743009155,20260827045000,33,13,0,0,1.1
1,서귀포매일올레시장,500,4060042200,태평로,364.9,50,95.933606016476,20260827045000,40,9,0,0,0.8
1,서귀포매일올레시장,500,4060032700,부두로,368.0,30,243.213124682665,20260827045000,15,60,0,0,0.5
1,서귀포매일올레시장,500,4060042700,태평로,369.2,50,120.170996476702,20260827045000,37,12,0,0,0.74
1,서귀포매일올레시장,500,4060032800,부두로,369.7,30,234.736420796903,20260827045000,8,111,0,0,0.26666666666666666
1,서귀포매일올레시장,500,4060032900,태평로,369.7,50,74.524032651903,20260827045000,35,8,0,0,0.7
1,서귀포매일올레시장,500,4060031401,태평로,373.1,50,95.373242417236,20260827045000,31,12,0,0,0.62
1,서귀포매일올레시장,500,4060042501,태평로442번길,379.7,50,73.366760814852,20260827045000,15,20,0,0,0.3
1,서귀포매일올레시장,500,4060042402,태평로442번길,381.4,50,84.055545070227,20260827045000,11,32,0,0,0.22
