link_id,longitude,latitude,speed_ratio,traffic_weight
4060033400,126.56506160427226,33.248377221237085,0.8,0.19999999999999996
4060033300,126.5624973816405,33.24767247748643,0.4666666666666667,0.5333333333333333
4060042000,126.5659710818665,33.24699879974002,0.26,0.74
4060042100,126.56609396364622,33.24703170629188,0.28,0.72
4060033200,126.56686709287843,33.24864454505321,1.2333333333333334,0.0
4060033100,126.56688456698727,33.24852771464579,0.9666666666666668,0.033333333333333215
4060229300,126.56221525077231,33.24953444465851,0.76,0.24
4060142501,126.56182678435373,33.24854553634132,0.44,0.56
4060229200,126.56218979053162,33.249640715882855,0.76,0.24
4060077502,126.5620202618818,33.24724902168724,0.58,0.42000000000000004
4060142602,126.56170704880572,33.24852562202965,0.78,0.21999999999999997
4060037300,126.56171688708072,33.247649686632585,0.44,0.56
4060037200,126.56172330000086,33.247531659012175,0.26,0.74
4060077601,126.56189939653994,33.24723337842724,0.5,0.5
4060142800,126.56616169008315,33.249812906377336,1.0666666666666669,0.0
4060077504,126.56207992207358,33.24593915351308,0.56,0.43999999999999995
4060077402,126.56135554827542,33.247436976617244,0.4,0.6
4060227100,126.56184643623105,33.24693194720955,0.66,0.33999999999999997
4060077603,126.56196613161792,33.24576817276414,0.74,0.26
4060142502,126.5613932828075,33.251077617626756,0.42,0.5800000000000001
4060142700,126.56280563678538,33.251703924288904,0.9,0.09999999999999998
4060227000,126.56147796250343,33.24682369825218,0.62,0.38
4060143201,126.56117937251769,33.24764945135103,0.7,0.30000000000000004
4060142601,126.56127356222142,33.25105815416212,0.78,0.21999999999999997
4060077301,126.56118095845511,33.24748712653576,0.46,0.54
4060227900,126.56326154834886,33.24549837435645,0.7,0.30000000000000004
4060223800,126.56115956376688,33.24712996648088,0.84,0.16000000000000003
4060227800,126.56313346859059,33.24548725525516,0.74,0.26
4060223900,126.56103204639328,33.24709887663891,0.9,0.09999999999999998
4060077302,126.56041775514423,33.247135014459474,0.575,0.42500000000000004
4060226700,126.56107703514208,33.24622520321409,0.9,0.09999999999999998
4060042900,126.56786687514325,33.2477115570582,0.3333333333333333,0.6666666666666667
4060058100,126.56783205118899,33.250359058806175,0.8,0.19999999999999996
4060042800,126.56798038726036,33.24775815066082,0.5833333333333334,0.41666666666666663
4060241400,126.56264113710236,33.24515289436736,0.74,0.26
4060058200,126.56795419259853,33.25034918442637,0.9,0.09999999999999998
4060078600,126.56602860375659,33.24554047728468,0.78,0.21999999999999997
4060044200,126.56841863298895,33.24859923306498,0.9333333333333332,0.06666666666666676
4060033600,126.56553236529055,33.24531752953486,0.86,0.14
4060057400,126.56884387187957,33.24872701061734,0.8333333333333334,0.16666666666666663
4060042300,126.5667050800128,33.24584526894967,0.66,0.33999999999999997
4060224900,126.56333805404532,33.24492520453859,0.96,0.040000000000000036
4060033000,126.56484732411633,33.24505921251311,0.52,0.48
4060224800,126.56321140040785,33.244904010704005,1.0,0.0
4060241500,126.5626509225874,33.2450436451808,0.74,0.26
4060226600,126.56122116490396,33.24591296782411,0.72,0.28
4060078500,126.566093105544,33.24543939866102,0.38,0.62
4060041800,126.56649248498725,33.24524446614018,0.8,0.19999999999999996
4060033500,126.56556830229943,33.24520444425411,0.68,0.31999999999999995
4060041900,126.56639327424149,33.245143092222,1.1333333333333333,0.0
4060042200,126.56677874753908,33.24574832002936,0.58,0.42000000000000004
4060032700,126.56537704175969,33.244015284588436,0.4333333333333333,0.5666666666666667
4060042700,126.56765720768392,33.246534279184544,0.7,0.30000000000000004
4060032800,126.56525565726288,33.244008517061076,0.2666666666666666,0.7333333333333334
4060032900,126.56483552695458,33.24492812781323,0.78,0.21999999999999997
4060031401,126.56386471987095,33.244804708581896,0.74,0.26
4060042501,126.56744005587868,33.24574608994423,0.3,0.7
4060042402,126.56757823512923,33.24578359823596,0.22,0.78
4060042600,126.5677229355236,33.2464335330633,0.54,0.45999999999999996
4060032302,126.56433590404464,33.24436226147574,0.7,0.30000000000000004
4060031302,126.56385559778349,33.24468112936109,0.66,0.33999999999999997
4060032401,126.5642093124165,33.24435769300933,0.7,0.30000000000000004
4060078800,126.56836443386452,33.2471850285804,0.5,0.5
4060227500,126.56831461577296,33.24627732788702,0.68,0.31999999999999995
4060031402,126.56267852344939,33.24452628744314,0.64,0.36
4060078700,126.56844528877653,33.247096115907304,0.58,0.42000000000000004
4060227400,126.5684198419904,33.24634775394167,0.14,0.86
4060077503,126.56213243151736,33.244786248398746,0.46,0.54
4060224200,126.56343204192483,33.24421144852575,1.15,0.0
4060031301,126.56274292150742,33.244419964588396,0.7,0.30000000000000004
4060224300,126.5633053516304,33.24418905323065,0.95,0.050000000000000044
4060031200,126.56077247788403,33.24571569044813,0.66,0.33999999999999997
4060077401,126.55962569913302,33.246638883720614,0.5,0.5
4060044100,126.5691403409926,33.24796162678318,0.68,0.31999999999999995
4060043500,126.56946455538076,33.24616367701124,0.5666666666666667,0.43333333333333335
4060143300,126.56070734590922,33.2456108204806,0.34,0.6599999999999999
4060043400,126.56961446161719,33.24616365708941,0.7,0.30000000000000004
4060044000,126.56923992980055,33.24789114200117,0.74,0.26
4060078100,126.56698310341751,33.243667336886254,0.2666666666666666,0.7333333333333334
4060078300,126.56748708825688,33.24505481782984,0.3,0.7
4060241200,126.5681709432034,33.24566227495873,0.275,0.725
4060078200,126.56710508126065,33.24372066496878,0.3666666666666666,0.6333333333333334
4060078400,126.56745619384573,33.24494041809295,1.1,0.0
4060031601,126.56223239060527,33.244140555829205,0.38,0.62
4060042502,126.56774336367768,33.245196806307106,0.38,0.62
4060031502,126.56239719004718,33.24407563472102,0.72,0.28
4060042401,126.56787286861461,33.24519879349303,0.72,0.28
4060241300,126.56819628929247,33.24555484506547,1.05,0.0
4060230800,126.5662284505021,33.252455327260456,0.76,0.24
4060228300,126.5637857561919,33.243888013351444,0.84,0.16000000000000003
4060230900,126.56619745947943,33.252560341495524,0.62,0.38
4060032402,126.5639698650923,33.243429240866675,0.525,0.475
4060228200,126.56377984093633,33.243778064662045,0.68,0.31999999999999995
4060032301,126.56408476221208,33.24338359385176,0.6,0.4
4060228000,126.56298673316306,33.2437922766944,0.58,0.42000000000000004
4050617801,126.49567584750336,33.50690427956371,0.5857142857142857,0.41428571428571426
4050617901,126.49618987290678,33.50587403683531,0.4428571428571428,0.5571428571428572
4050619001,126.49624177350415,33.504796413126634,0.2714285714285714,0.7285714285714286
4050619101,126.4963917771795,33.50479116937677,0.4857142857142857,0.5142857142857142
4050618901,126.49579859965081,33.504135010456906,0.5166666666666667,0.4833333333333333
4050618501,126.494011477524,33.50389128934964,0.7,0.30000000000000004
4050618801,126.49581888965855,33.5039096927411,0.2333333333333333,0.7666666666666667
